n,groups,prevalence,baseline_auc,score_correlation,true_delta_auc,mean_estimated_delta,mean_ci_width,empirical_coverage,experiments,group_bootstrap_resamples_per_experiment
400,279,0.5,0.75,0.7,0.0,-0.00035930116209373033,0.07378498999849997,0.98,50,50
400,279,0.5,0.75,0.7,0.03,0.02827875570177544,0.06840973484793443,0.94,50,50
400,279,0.5,0.75,0.9,0.0,-0.002780693039528641,0.04210281427878575,0.92,50,50
400,279,0.5,0.75,0.9,0.03,0.02974175984973558,0.041525903948869736,0.98,50,50
400,279,0.63,0.75,0.7,0.0,-0.0027646698649867684,0.07247489035770543,0.92,50,50
400,279,0.63,0.75,0.7,0.03,0.02900961147724679,0.07340466962554122,0.82,50,50
400,279,0.63,0.75,0.9,0.0,-0.00022149390180139505,0.044438336193947735,0.96,50,50
400,279,0.63,0.75,0.9,0.03,0.030093725911327255,0.04312523374273138,0.9,50,50
820,572,0.5,0.75,0.7,0.0,0.0008079200657101704,0.050222127567048774,0.96,50,50
820,572,0.5,0.75,0.7,0.03,0.031606168349681836,0.04811039088123937,0.9,50,50
820,572,0.5,0.75,0.9,0.0,-0.00044240388022942056,0.02873236564968016,0.98,50,50
820,572,0.5,0.75,0.9,0.03,0.03065955737897327,0.028775144882056142,0.9,50,50
820,572,0.63,0.75,0.7,0.0,-0.004102857157422785,0.05055282556709453,0.84,50,50
820,572,0.63,0.75,0.7,0.03,0.032228108822576186,0.05005534627685978,0.94,50,50
820,572,0.63,0.75,0.9,0.0,0.0013342706159942663,0.03135413961076833,0.92,50,50
820,572,0.63,0.75,0.9,0.03,0.030784911548979645,0.030650441787569323,0.88,50,50
