drug_id,compound_name_source,dili_category,identity_status,resolution_method,pubchem_query,pubchem_cid,pubchem_title,source_formula,source_molecular_weight,pubchem_candidate_count,identity_adjudication,original_smiles,standardised_isomeric_smiles,parent_inchikey,curated_formula,curated_molecular_weight,curated_heavy_atoms,curated_amide_bonds,curation_flags,eligibility,exclusion_code,review_status
LT00061,Carboplatin,vLess-DILI-concern,resolved,exact-name,Carboplatin,426756.0,"Platinum, diammine[1,1-cyclobutanedi(carboxylato-kO)(2-)]-, (SP-4-2)-",C6H12N2O4Pt,371.25,1.0,unique-pubchem-name-result,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],,,,,,,MANUAL_REVIEW:POLYMER_OR_UNRESOLVED_INORGANIC: carboplatin requires intact platinum coordination; fragment parent discards Pt,False,POLYMER_OR_UNRESOLVED_INORGANIC,rules-applied-pending-independent-review
LT00071,Cisplatin,vLess-DILI-concern,resolved,exact-name,Cisplatin,5702198.0,azane;dichloroplatinum,Cl2H6N2Pt,300.05,1.0,unique-pubchem-name-result,N.N.Cl[Pt]Cl,,,,,,,,False,POLYMER_OR_UNRESOLVED_INORGANIC,rules-applied-pending-independent-review
LT00077,Corticotropin,vNo-DILI-concern,resolved,exact-name,Corticotropin,16132265.0,Corticotropin,C207H308N56O58S,4541.0,1.0,exact-title-among-candidates,C[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]6CCCN6C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@@H]7CCCN7C(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC8=CNC9=CC=CC=C98)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@H](CO)N,,,,4541.14199999999,322.0,,,False,BIOLOGIC_OR_MACROMOLECULE,rules-applied-pending-independent-review
LT00079,Dactinomycin,vMost-DILI-concern,resolved,exact-name,Dactinomycin,457193.0,Dactinomycin,C62H86N12O16,1255.4,1.0,exact-title-among-candidates,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,,,,1255.4379999999985,90.0,10.0,PEPTIDE_OR_PEPTIDOMIMETIC_RULE,False,BIOLOGIC_OR_MACROMOLECULE,rules-applied-pending-independent-review
LT00161,Vancomycin hydrochloride,vLess-DILI-concern,resolved,exact-name,Vancomycin hydrochloride,6420023.0,Vancomycin Hydrochloride,C66H76Cl3N9O24,1485.7,1.0,exact-title-among-candidates,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O.Cl,,,,1449.2710000000004,101.0,7.0,PUBCHEM_ACTIVE_MOIETY_SUFFIX_ADJUDICATION,False,BIOLOGIC_OR_MACROMOLECULE,rules-applied-pending-independent-review
LT00330,Sodium lactate,vNo-DILI-concern,resolved,exact-name,Sodium lactate,23666456.0,Sodium Lactate,C3H5NaO3,112.06,1.0,exact-title-among-candidates,CC(C(=O)[O-])O.[Na+],,,,,,,PUBCHEM_ACTIVE_MOIETY_SUFFIX_ADJUDICATION,False,POLYMER_OR_UNRESOLVED_INORGANIC,rules-applied-pending-independent-review
LT00349,Protirelin,vNo-DILI-concern,resolved,exact-name,Protirelin,638678.0,Protirelin,C16H22N6O4,362.38,1.0,exact-title-among-candidates,C1C[C@H](N(C1)C(=O)[C@H](CC2=CN=CN2)NC(=O)[C@@H]3CCC(=O)N3)C(=O)N,,,,,,,MANUAL_REVIEW:BIOLOGIC_OR_MACROMOLECULE: protirelin is a tripeptide therapeutic,False,BIOLOGIC_OR_MACROMOLECULE,rules-applied-pending-independent-review
LT00350,Sincalide,vNo-DILI-concern,resolved,exact-name,Sincalide,9833444.0,Sincalide,C49H62N10O16S3,1143.3,1.0,exact-title-among-candidates,CSCC[C@@H](C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N)NC(=O)[C@H](CC4=CC=C(C=C4)OS(=O)(=O)O)NC(=O)[C@H](CC(=O)O)N,,,,1143.2900000000004,78.0,8.0,PEPTIDE_OR_PEPTIDOMIMETIC_RULE,False,BIOLOGIC_OR_MACROMOLECULE,rules-applied-pending-independent-review
LT00355,Secretin synthetic human,vNo-DILI-concern,unresolved,unresolved,Secretin synthetic human,,,,,,,,,,,,,,,False,BIOLOGIC_OR_MACROMOLECULE,rules-applied-pending-independent-review
LT00358,Sucralfate,vNo-DILI-concern,unresolved,unresolved,Sucralfate,,,,,,,,,,,,,,,False,BIOLOGIC_OR_MACROMOLECULE,rules-applied-pending-independent-review
