drug_id,compound_name_source,dili_category,identity_status,resolution_method,pubchem_query,pubchem_cid,pubchem_title,source_formula,source_molecular_weight,pubchem_candidate_count,identity_adjudication,original_smiles,standardised_isomeric_smiles,parent_inchikey,curated_formula,curated_molecular_weight,curated_heavy_atoms,curated_amide_bonds,curation_flags,eligibility,exclusion_code,review_status
LT00004,Acetaminophen,vMost-DILI-concern,resolved,exact-name,Acetaminophen,1983.0,Acetaminophen,C8H9NO2,151.16,1.0,exact-title-among-candidates,CC(=O)NC1=CC=C(C=C1)O,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,C8H9NO2,151.165,11.0,1.0,,True,,rules-applied-pending-independent-review
LT00011,Clofibrate,vLess-DILI-concern,resolved,exact-name,Clofibrate,2796.0,Clofibrate,C12H15ClO3,242.7,1.0,exact-title-among-candidates,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,KNHUKKLJHYUCFP-UHFFFAOYSA-N,C12H15ClO3,242.702,16.0,0.0,,True,,rules-applied-pending-independent-review
LT00013,Cyclophosphamide,vLess-DILI-concern,resolved,exact-name,Cyclophosphamide,2907.0,Cyclophosphamide,C7H15Cl2N2O2P,261.08,1.0,exact-title-among-candidates,C1CNP(=O)(OC1)N(CCCl)CCCl,O=P1(N(CCCl)CCCl)NCCCO1,CMSMOCZEIVJLDB-UHFFFAOYSA-N,C7H15Cl2N2O2P,261.08899999999994,14.0,0.0,,True,,rules-applied-pending-independent-review
LT00020,Gemfibrozil,vMost-DILI-concern,resolved,exact-name,Gemfibrozil,3463.0,Gemfibrozil,C15H22O3,250.33,1.0,exact-title-among-candidates,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,HEMJJKBWTPKOJG-UHFFFAOYSA-N,C15H22O3,250.33799999999997,18.0,0.0,,True,,rules-applied-pending-independent-review
LT00053,Aspirin,vLess-DILI-concern,resolved,exact-name,Aspirin,2244.0,Aspirin,C9H8O4,180.16,1.0,exact-title-among-candidates,CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,C9H8O4,180.159,13.0,0.0,,True,,rules-applied-pending-independent-review
LT00111,Ketoconazole,vMost-DILI-concern,resolved,exact-name,Ketoconazole,47576.0,Ketoconazole,C26H28Cl2N4O4,531.4,1.0,exact-title-among-candidates,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@@H]3CO[C@@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,C26H28Cl2N4O4,531.4400000000003,36.0,1.0,,True,,rules-applied-pending-independent-review
LT00121,Methyldopa,vMost-DILI-concern,resolved,exact-name,Methyldopa,38853.0,Methyldopa,C10H13NO4,211.21,1.0,exact-title-among-candidates,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,CJCSPKMFHVPWAR-JTQLQIEISA-N,C10H13NO4,211.217,15.0,0.0,,True,,rules-applied-pending-independent-review
LT00167,Finasteride,vLess-DILI-concern,resolved,exact-name,Finasteride,57363.0,Finasteride,C23H36N2O2,372.5,1.0,exact-title-among-candidates,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,DBEPLOCGEIEOCV-WSBQPABSSA-N,C23H36N2O2,372.5530000000001,27.0,2.0,,True,,rules-applied-pending-independent-review
LT00177,Vinblastine sulfate,vLess-DILI-concern,resolved,exact-name,Vinblastine sulfate,5388983.0,Vinblastine Sulfate,C46H60N4O13S,909.1,1.0,exact-title-among-candidates,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,JXLYSJRDGCGARV-CFWMRBGOSA-N,C46H58N4O9,810.9890000000001,59.0,0.0,PUBCHEM_ACTIVE_MOIETY_SUFFIX_ADJUDICATION,True,,rules-applied-pending-independent-review
LT00188,Hydrocortisone acetate,vNo-DILI-concern,resolved,exact-name,Hydrocortisone acetate,5744.0,Hydrocortisone Acetate,C23H32O6,404.5,1.0,exact-title-among-candidates,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,JYGXADMDTFJGBT-VWUMJDOOSA-N,C21H30O5,362.46600000000007,26.0,0.0,PUBCHEM_ACTIVE_MOIETY_SUFFIX_ADJUDICATION,True,,rules-applied-pending-independent-review
