drug_id,compound_name_source,dili_category,scaffold_id,model,mean_probability,minimum_probability,negative_repeats,sensitivity_negative_repeats,repeats,mean_youden_threshold,mean_sensitivity_threshold,convergence_warnings,youden_false_negative_persistence,sensitivity_false_negative_persistence,curation_flags,review_status,resolution_method,identity_adjudication,active_moiety_adjudication,training_context,therapeutic_class
LT01034,Acarbose,vMost-DILI-concern,scaffold:C1=CC(NC2CCC(OC3CCCOC3)OC2)CCC1,A,0.13584638460728415,0.033473030093653,5,5,5,0.7077223306607596,0.6444707699807186,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01345,Ethambutol hydrochloride,vMost-DILI-concern,acyclic:0011,B,0.16794084460703834,0.1429585164603299,5,5,5,0.6867338688801115,0.6408266975859026,0,1.0,1.0,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00106,Hydroxyurea,vMost-DILI-concern,acyclic:0031,C,0.17146671749464965,0.0941447539782824,5,5,5,0.5426022161169367,0.4560543819028787,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01345,Ethambutol hydrochloride,vMost-DILI-concern,acyclic:0011,A,0.18113652968403232,0.127111328924109,5,5,5,0.6500059042342239,0.6458017978243404,0,1.0,1.0,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01034,Acarbose,vMost-DILI-concern,scaffold:C1=CC(NC2CCC(OC3CCCOC3)OC2)CCC1,B,0.19296698691238282,0.085593977015103,5,5,5,0.6706480457735486,0.6512175191843599,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00131,Perhexiline,vMost-DILI-concern,scaffold:C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,D,0.20716356186124765,0.0171233366218983,5,5,5,0.701037533959349,0.5738536123987895,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01345,Ethambutol hydrochloride,vMost-DILI-concern,acyclic:0011,D,0.24028446973490386,0.1158174755222953,5,5,5,0.6291268132649666,0.5327636021602775,0,1.0,1.0,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00179,Fluconazole,vMost-DILI-concern,scaffold:c1ccc(C(Cn2cncn2)Cn2cncn2)cc1,C,0.25698110606387325,0.1378110274356135,5,5,5,0.5834203884931418,0.46693206397287207,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00106,Hydroxyurea,vMost-DILI-concern,acyclic:0031,D,0.2602740045105577,0.1805279551032755,5,5,5,0.655303057096816,0.5774240298060317,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00280,Busulfan,vMost-DILI-concern,acyclic:0028,C,0.26358415770499005,0.1927181290132281,5,5,5,0.5542798434774634,0.46430591272282246,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01345,Ethambutol hydrochloride,vMost-DILI-concern,acyclic:0011,C,0.2647265154775293,0.1968413046947343,5,5,5,0.5348350652500539,0.4324301450359709,0,1.0,1.0,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00131,Perhexiline,vMost-DILI-concern,scaffold:C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,C,0.26619926661799453,0.1203208149984253,5,5,5,0.5146177135971142,0.4461207173130715,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00097,Felbamate,vMost-DILI-concern,scaffold:c1ccccc1,C,0.3088978499135854,0.2928419975839221,5,5,5,0.5491940510918963,0.4380169080256727,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00280,Busulfan,vMost-DILI-concern,acyclic:0028,D,0.30966274109387604,0.2142572586688286,5,5,5,0.6251751027192579,0.5615553405321765,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00160,Valproic acid,vMost-DILI-concern,acyclic:0029,B,0.3109714010338954,0.2527010158160774,5,5,5,0.6942543120906879,0.6550935854898349,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00845,Oxandrolone,vMost-DILI-concern,scaffold:O=C1CC2CCC3C4CCCC4CCC3C2CO1,C,0.3230704929100601,0.2996468785296219,5,5,5,0.5341060762879741,0.4386019462297249,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
