model,metric,mean,repeat_sd,repeat_min,repeat_max,interpretation
A,auroc,0.7249396361517007,0.0057307989301812485,0.7172942425377795,0.7333322925773282,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
A,pr_auroc,0.8302024295055308,0.003948421517460529,0.8252106527978931,0.8348608931821238,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
A,brier,0.1800661570233218,0.0012315979164552848,0.17808428352606648,0.18098539209393477,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
A,sensitivity,0.7078556263269639,0.03899305510335229,0.6560509554140127,0.7600849256900213,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
A,specificity,0.6058823529411764,0.040511673551753696,0.5588235294117647,0.6568627450980392,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
A,precision,0.806038582730085,0.009470793612176285,0.7967289719626168,0.8170731707317073,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
A,balanced_accuracy,0.6568689896340703,0.00970297596672042,0.6478706132134382,0.6718027975521419,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
A,calibration_intercept,0.11021372747103997,0.03305270987258682,0.08388012031911189,0.15911288193686876,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
A,calibration_slope,0.8537743016325651,0.033806441899548165,0.8133174661795121,0.9065417289003737,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
B,auroc,0.7626326963906582,0.008926915597037094,0.7512801298863494,0.7723034011906249,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
B,pr_auroc,0.8506403812524077,0.010874800153524284,0.8343136267359271,0.8631528827923198,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
B,brier,0.16626968020482208,0.0019278933684595207,0.16436208356880028,0.16929484398621994,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
B,sensitivity,0.7626326963906582,0.03391715591968728,0.7197452229299363,0.8046709129511678,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
B,specificity,0.6470588235294118,0.05106045749019522,0.5784313725490197,0.696078431372549,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
B,precision,0.8336761386211758,0.01399829029577797,0.8150537634408602,0.8453865336658354,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
B,balanced_accuracy,0.704845759960035,0.010458634331512258,0.6915511427500938,0.7168883476957661,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
B,calibration_intercept,-0.02724037823167381,0.06144926783251466,-0.09532346719482697,0.047966921558530044,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
B,calibration_slope,0.9435770470239502,0.08036707719610951,0.8389642365318262,1.0459941889687003,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
C,auroc,0.6606823196369843,0.007671469627635529,0.6510136963490278,0.6672182673494027,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
C,pr_auroc,0.7904335698727306,0.005760358141821037,0.7826607492251764,0.7970424153900022,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
C,brier,0.21923072370788552,0.0037196001247435076,0.21272199581076018,0.22169790428273178,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
C,sensitivity,0.6509554140127388,0.050835846978942445,0.5774946921443737,0.692144373673036,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
C,specificity,0.5892156862745098,0.03850458213069704,0.5392156862745098,0.6470588235294118,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
C,precision,0.7854540155349156,0.007636368894038618,0.7761904761904762,0.7916666666666666,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
C,balanced_accuracy,0.6200855501436243,0.012799296838152077,0.6054858249032097,0.6345541401273885,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
C,calibration_intercept,0.7016317246581834,0.03814795083001896,0.6402039387261896,0.7381040460672218,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
C,calibration_slope,0.7609169553584493,0.0998394406735622,0.6391439659180482,0.8995256114339473,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
D,auroc,0.6822176428957996,0.015413187788484056,0.6616918529619915,0.7015007701594438,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
D,pr_auroc,0.8015565976298941,0.011895326164755079,0.7888965796002536,0.8180650982818027,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
D,brier,0.1955469573777394,0.00632545490182821,0.18908715918413557,0.20250705165687716,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
D,sensitivity,0.6845010615711252,0.02367089381260082,0.6666666666666666,0.721868365180467,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
D,specificity,0.5941176470588234,0.029083131321943775,0.553921568627451,0.6225490196078431,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
D,precision,0.7958511179302624,0.0062592352286147115,0.7888631090487239,0.80306905370844,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
D,balanced_accuracy,0.6393093543149744,0.004083098172134863,0.6338984638441363,0.6446078431372548,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
D,calibration_intercept,0.390591259563341,0.11427756017243129,0.270873903070611,0.5366317108399934,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
D,calibration_slope,0.5891939045491712,0.16652466026494187,0.3844145100592312,0.7488216240362321,Descriptive variation across five repeated outer validations; not an independent-sample confidence interval.
