item_id,final_disposition,evidence_location
2,Reported,final_reporting_addendum.md Structured abstract
8b,Reported as unavailable,final_reporting_addendum.md Outcome ascertainment
8c,Reported as unavailable,final_reporting_addendum.md Outcome ascertainment
17,Reported,final_reporting_addendum.md Governance and administrative declarations
18a,Reported as unavailable,final_reporting_addendum.md Governance and administrative declarations
18b,Reported as unavailable,final_reporting_addendum.md Governance and administrative declarations
18d,Reported as no identifier supplied,final_reporting_addendum.md Governance and administrative declarations
18e,Reported,final_reporting_addendum.md Governance and administrative declarations
19,Reported as not documented,final_reporting_addendum.md Governance and administrative declarations
20b,Reported,final_reporting_addendum.md Population and predictor characteristics
20c,Reported,final_reporting_addendum.md Population and predictor characteristics
21,Reported,final_reporting_addendum.md Analysis denominators
22,Not applicable with justification,final_reporting_addendum.md Model specification and export
